label,nb_universites
LAMBALLE-ARMOR,12
FACHES-THUMESNIL,11
NOISIEL,11
SAINT-CYR-L'ECOLE,11
FONTAINEBLEAU,11
VERTOU,11
LUNÉVILLE,11
VAL-DE-REUIL,11
ARCUEIL,11
GAILLAC,11
DAX,11
ORSAY,11
CASTELNAU-LE-LEZ,11
ALLAUCH,11
SOYAUX,11
BOLLÈNE,11
MORLAIX,11
BEAUCAIRE,11
CLERMONT,11
LOUVIERS,11
L'ETANG-SALÉ,11
BONNEUIL-SUR-MARNE,11
LE BOUSCAT,11
VILLENEUVE-LE-ROI,11
LE CHESNAY-ROCQUENCOURT,11
RIVIÈRE-SALÉE,11
SAINT-RÉMY,11
MAULÉON,11
CHAUNY,11
LES PAVILLONS-SOUS-BOIS,11
HENNEBONT,11
TRÉLAZÉ,11
ANDRÉSY,11
BAUGÉ-EN-ANJOU,11
VALENTON,11
BANDRELE,11
YUTZ,11
SCHOELCHER,11
FRONTIGNAN,11
LANNION,11
FIRMINY,11
LA VALETTE-DU-VAR,11
WASQUEHAL,11
BOLBEC,11
OUANGANI,11
PERTUIS,11
SAINT-SAUVEUR,11
SAINTE-FOY-LÈS-LYON,11
SOISY-SOUS-MONTMORENCY,11
LA CHAPELLE-SAINT-LUC,11
JOUY-LE-MOUTIER,11
LE CREUSOT,11
PAMIERS,11
BERRE-L'ETANG,11
MARLY-LE-ROI,11
MONTGERON,11
RONCHIN,11
PONT-À-MOUSSON,11
WOIPPY,11
SAINT-FRANÇOIS,11
PUNAAUIA,11
GUJAN-MESTRAS,11
EAUBONNE,11
NOYANT-VILLAGES,11
OSNY,11
SÈVRES,11
SAINT-BARTHÉLEMY,11
FOURMIES,11
VITRY-LE-FRANÇOIS,11
TASSIN-LA-DEMI-LUNE,11
MARIPASOULA,11
CARROS,11
LA MOTTE-SERVOLEX,10
CHALLANS,10
LES LILAS,10
LYON 1ER ARRONDISSEMENT,10
MOISSAC,10
TRIEL-SUR-SEINE,10
SIN-LE-NOBLE,10
MENDE,10
LE KREMLIN-BICÊTRE,10
GONFREVILLE-L'ORCHER,10
BASSE-TERRE,10
LONGWY,10
BARENTIN,10
CHEVILLY-LARUE,10
FLERS,10
AMBOISE,10
ILLKIRCH-GRAFFENSTADEN,10
TARASCON,10
MONTCEAU-LES-MINES,10
RUMILLY,10
MÉRU,10
SAINT-MANDÉ,10
PORT-JÉRÔME-SUR-SEINE,10
CRÉPY-EN-VALOIS,10
LE PONTET,10
CARVIN,10
VAURÉAL,10
MANDELIEU-LA-NAPOULE,10
HAZEBROUCK,10
MTSAMBORO,10
AUCHEL,10
CESTAS,10
PONT-SAINTE-MAXENCE,10
VITRÉ,10
HOUAILOU,10
SAINT-FARGEAU-PONTHIERRY,10
MÉRICOURT,10
LE CHAMBON-FEUGEROLLES,10
CHILLY-MAZARIN,10
MOOREA,10
GENTILLY,10
FOS-SUR-MER,10
VIRE NORMANDIE,10
MONTARGIS,10
LA FLÈCHE,10
LA MADELEINE,10
CHÂTEAUNEUF-LES-MARTIGUES,10
PIERRELATTE,10
VICHY,10
VALLAURIS,10
ALBERTVILLE,10
LE PONT-DE-CLAIX,10
CHENNEVIÈRES-SUR-MARNE,10
BULLY-LES-MINES,10
VESOUL,10
CHÂTEAUBRIANT,10
LISIEUX,10
VOISINS-LE-BRETONNEUX,10
RAMONVILLE-SAINT-AGNE,10
MORET-LOING-ET-ORVANNE,10
CHAVILLE,10
CASTANET-TOLOSAN,10
BISCHHEIM,10
BLANQUEFORT,10
LE PRÉ-SAINT-GERVAIS,10
EPINAY-SOUS-SÉNART,10
HÉROUVILLE-SAINT-CLAIR,10
MACOURIA,10
BIHOREL,9
VAUVERT,9
SARREBOURG,9
LINGOLSHEIM,9
BAGNOLS-SUR-CÈZE,9
HARNES,9
MONTIGNY-LÈS-METZ,9
MÉRY-SUR-OISE,9
LE PECQ,9
VALBONNE,9
VILLERS-LÈS-NANCY,9
PAMANDZI,9
MONTIGNY-LÈS-CORMEILLES,9
PITHIVIERS,9
HÉRICOURT,9
GIEN,9
DUCOS,9
CHÂTEAU-GONTIER-SUR-MAYENNE,9
FÉCAMP,9
CAUDRY,9
BRIGNOLES,9
SAINT-JUST-SAINT-RAMBERT,9
MAGNY-LES-HAMEAUX,9
THIERS,9
EYBENS,9
WITTENHEIM,9
DOUCHY-LES-MINES,9
LA FERTÉ-BERNARD,9
CARQUEFOU,9
BOUC-BEL-AIR,9
BAILLEUL,9
AVON,9
LILLERS,9
CESSON,9
CHÂLETTE-SUR-LOING,9
CANTELEU,9
GRAVELINES,9
SAINT-MAXIMIN-LA-SAINTE-BAUME,9
BOUÉNI,9
BOIS-D'ARCY,9
LAXOU,9
M'TSANGAMOUJI,9
SAINT-JEAN-DE-VÉDAS,9
LANDERNEAU,9
SOMAIN,9
BILLÈRE,9
LOUVRES,9
ESCAUDAIN,9
SAINT-MARTIN-DE-CRAU,9
BRIANÇON,9
JUVISY-SUR-ORGE,9
FREYMING-MERLEBACH,9
GUÉRET,9
OUTREAU,9
BIARRITZ,9
POINDIMIE,9
VERNEUIL-SUR-SEINE,9
LA TESTE-DE-BUCH,9
BRY-SUR-MARNE,9
FORBACH,9
MONT-SAINT-AIGNAN,9
SOLLIÈS-PONT,9
OIGNIES,9
SAINT-LEU-LA-FORÊT,9
CUGNAUX,9
AVRILLÉ,9
BERCK,9
QUETIGNY,9
GENNES-VAL-DE-LOIRE,9
HAUBOURDIN,9
SAINT-VALLIER,9
CHANTONNAY,9
SAINT-FONS,9
JOINVILLE-LE-PONT,9
SÉLESTAT,9
MÉZIDON VALLÉE D'AUGE,9
GUILHERAND-GRANGES,9
ROMILLY-SUR-SEINE,9
MAYENNE,9
MONTMAGNY,9
MONTIVILLIERS,9
ORTHEZ,9
BRIE-COMTE-ROBERT,9
SECLIN,9
ISSOUDUN,9
TOURNON-SUR-RHÔNE,9
HIRSON,9
PONTIVY,9
TARARE,9
BLAGNAC,9
VERDUN,9
PLAISANCE-DU-TOUCH,9
PORNIC,8
LURE,8
LES HERBIERS,8
SEYSSINET-PARISET,8
HUAHINE,8
LA CHAPELLE-D'ARMENTIÈRES,8
LYS-HAUT-LAYON,8
CLUSES,8
MONTESSON,8
VALENTIGNEY,8
CLAYE-SOUILLY,8
SORBIERS,8
BAR-LE-DUC,8
SAINT-BRICE-SOUS-FORÊT,8
LE TEIL,8
PORTO-VECCHIO,8
TULLE,8
L'ISLE-ADAM,8
RIVE-DE-GIER,8
SALLANCHES,8
EMERAINVILLE,8
BERNAY,8
LESCAR,8
CHEVIGNY-SAINT-SAUVEUR,8
CHICONI,8
OLORON-SAINTE-MARIE,8
MOUVAUX,8
CARRIÈRES-SUR-SEINE,8
COURNON-D'AUVERGNE,8
VENCE,8
VERRIÈRES-LE-BUISSON,8
DOMONT,8
VILLENEUVE-LOUBET,8
OUVÉA,8
CONDÉ-SUR-L'ESCAUT,8
FILLIÈRE,8
BIOT,8
VAIRES-SUR-MARNE,8
MONTEUX,8
JONQUIÈRES,8
AULNOYE-AYMERIES,8
ALBERT,8
SAINT-GENIS-LAVAL,8
MONTBRISON,8
LOUDÉAC,8
HALLUIN,8
AUBERGENVILLE,8
SAINT-GAUDENS,8
GARCHES,8
DIVION,8
PERSAN,8
COGNAC,8
HIENGHENE,8
SAINT-GERMAIN-LÈS-ARPAJON,8
SAINTE-SAVINE,8
RAISMES,8
LE RAINCY,8
QUIMPERLÉ,8
LAVAUR,8
ANZIN,8
SCEAUX,8
VANVES,8
PARIS  2E  ARRONDISSEMENT,8
BRUGES,8
DUGNY,8
JEUMONT,8
POINTE-NOIRE,8
RIEDISHEIM,8
VALSERHÔNE,8
MAIZIÈRES-LÈS-METZ,8
ARNOUVILLE,8
CASTELNAUDARY,8
ROQUEBRUNE-CAP-MARTIN,8
CAUDEBEC-LÈS-ELBEUF,8
MELLE,8
SAINT-GEORGES,8
RIOM,8
FONTENAY-LE-FLEURY,8
FUVEAU,8
SAINT-GENIS-POUILLY,8
SAINT-BARTHÉLEMY-D'ANJOU,8
DOUARNENEZ,8
VILLERS-COTTERÊTS,8
VILLARS,8
AMILLY,8
GIGNAC-LA-NERTHE,8
LOIREAUXENCE,8
ROYAN,8
LA CHAPELLE-SUR-ERDRE,8
VIEUX-HABITANTS,8
SAINT-AUBIN,8
LIMOUX,8
MAROMME,8
CHAMALIÈRES,8
SALAZIE,8
LUCÉ,8
COURRIÈRES,8
SENLIS,8
BOURG-LA-REINE,8
SAINT-MAURICE,8
BRUAY-SUR-L'ESCAUT,8
APATOU,8
PÉRIGNY,8
DOUÉ-EN-ANJOU,8
SAINT-CYPRIEN,8
LA QUEUE-EN-BRIE,8
PASSY,8
HAYANGE,8
LE TAILLAN-MÉDOC,8
UNIEUX,8
VILLECRESNES,8
LOGNES,8
YZEURE,8
BAYEUX,8
RIVIÈRE-PILOTE,8
LIEUSAINT,8
SAINT-MARCEL,8
BASSENS,8
JOIGNY,8
BOIS-GUILLAUME,8
BOURG-SAINT-MAURICE,8
SEPTÈMES-LES-VALLONS,8
LE PLESSIS-TRÉVISE,8
DÉVILLE-LÈS-ROUEN,7
RETHEL,7
BETTON,7
GERZAT,7
BARLIN,7
MONTVAL-SUR-LOIR,7
SAINT-PIERRE-DU-PERRAY,7
LE CONTROIS-EN-SOLOGNE,7
LES TROIS-BASSINS,7
FIGEAC,7
GRANVILLE,7
APREMONT,7
